domesticated,diet,habitat,Kingdom,region,subtype,species
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,brightly colored bird,parrot
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,quetzal
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,robin
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,toucan
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,dove
domesticated animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,dove
wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,duck
domesticated animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,duck
wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,brightly colored bird,duck
domesticated animal,omnivore,semi-aquatic animal,bird,animal found worldwide,brightly colored bird,duck
wild animal,herbivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,goose
domesticated animal,herbivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,goose
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,grouse
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,grouse
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,grouse
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,partridge
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,partridge
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,partridge
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,pheasant
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,pheasant
domesticated animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,pigeon
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,quail
wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,snipe
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,snipe
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,turkey
domesticated animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,turkey
wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,albatross
wild animal,carnivore,semi-aquatic animal,bird,animal found in Antanimal found in the Arctica,grey brown white or black bird,albatross
wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,grey brown white or black bird,albatross
wild animal,carnivore,semi-aquatic animal,bird,animal found in Africa,grey brown white or black bird,albatross
wild animal,carnivore,semi-aquatic animal,bird,animal found in Oceania,grey brown white or black bird,albatross
wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,grey brown white or black bird,booby
wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,brightly colored bird,booby
wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,cormorant
wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,grebe
wild animal,carnivore,aquatic animal,bird,animal found worldwide,grey brown white or black bird,grebe
wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,brightly colored bird,grebe
wild animal,carnivore,aquatic animal,bird,animal found worldwide,brightly colored bird,grebe
wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,moorhen
wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,plover
wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,pelican
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,puffin
wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,grey brown white or black bird,puffin
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,brightly colored bird,puffin
wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,brightly colored bird,puffin
wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,seagull
wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,swan
wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,tern
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,blackbird
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,bluebird
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,bluejay
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,cardinal
wild animal,omnivore,terrestrial animal,bird,animal found in Africa,brightly colored bird,canary
domesticated animal,omnivore,terrestrial animal,bird,animal found in Africa,brightly colored bird,canary
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,crake
wild animal,omnivore,terrestrial animal,bird,animal found in Africa,grey brown white or black bird,crake
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,crake
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,magpie
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,mockingbird
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,nightingale
wild animal,omnivore,terrestrial animal,bird,animal found in the Americasbrightly colored bird,zzz,oriole
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,robin
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,wren
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,uguisu
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,bee eater
wild animal,carnivore,terrestrial animal,bird,animal found in Africa,brightly colored bird,bee eater
wild animal,carnivore,terrestrial animal,bird,animal found worldwide,brightly colored bird,bee eater
domesticated animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,chicken
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,crow
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,cuckoo
wild animal,omnivore,terrestrial animal,bird,animal found in Africa,grey brown white or black bird,cuckoo
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,cuckoo
wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,hummingbird
wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,raven
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,anchovy
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,barracuda
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,barracuda
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,barracuda
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,barracuda
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,bass
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,bass
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,bass
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,catfish
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,catfish
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,catfish
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,catfish
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,cod
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,cod
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,cod
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,eel
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,eel
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,flounder
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,flounder
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,flounder
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,grouper
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,grouper
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,grouper
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,grouper
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,herring
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,herring
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,pike
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,pike
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,pike
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,salmon
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,salmon
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,salmon
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,salmon
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,salmon
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,salmon
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,sardine
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,sardine
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,sardine
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,sardine
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,shark
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,swordfish
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,swordfish
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,swordfish
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,swordfish
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,tilapia
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,tilapia
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,tilapia
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,tilapia
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,trout
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,trout
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,tuna
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,angelfish
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,barb
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,barb
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,betta
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,clownfish
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,goldfish
domesticated animal,omnivore,aquatic animal,fish,freshwater fish,zzz,goldfish
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,guppy
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,koi
domesticated animal,omnivore,aquatic animal,fish,freshwater fish,zzz,koi
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,minnow
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,minnow
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,minnow
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,molly
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,piranha
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,pufferfish
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,pufferfish
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,pufferfish
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,pufferfish
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,shark
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,tang(Dory)
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,stingray
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,tetra
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,wrasse
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,wrasse
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,wrasse
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,wrasse
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,moray eel
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,stingray
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,stingray
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,stingray
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,stingray
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,cow
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,goat
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,goat
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,ox
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,sheep
wild animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,primate,human
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,primate,human
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,rodent,gerbil
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,rodent,hamster
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,rodent,guinea pig
wild animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,rodent,mouse
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,rodent,mouse
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,rabbit
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,rabbit
wild animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,rodent,rat
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,rodent,rat
wild animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,rodent,squirrel
wild animal,carnivore,aquatic animal,mammal,animal found in Eurasia,zzz,dolphin
wild animal,herbivore,aquatic animal,mammal,animal found in Eurasia,zzz,dugong
wild animal,carnivore,aquatic animal,mammal,animal found in Eurasia,zzz,orca
wild animal,carnivore,semi-aquatic animal,mammal,animal found in Eurasia,zzz,otter
wild animal,carnivore,aquatic animal,mammal,animal found in Eurasia,zzz,porpoise
wild animal,carnivore,semi-aquatic animal,mammal,animal found in Eurasia,zzz,sea lion
wild animal,carnivore,semi-aquatic animal,mammal,animal found in Eurasia,zzz,seal
wild animal,carnivore,aquatic animal,mammal,animal found in Eurasia,zzz,whale
wild animal,carnivore,terrestrial animal,mammal,animal found in Eurasia,insectivore,bat
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,donkey
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,hare
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,horse
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,horse
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,mole
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,zzz,mule
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,zzz,pig
wild animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,canine,fox
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,canine,fox
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,canine,pet dog
domesticated animal,carnivore,terrestrial animal,mammal,animal found in Eurasia,feline,house cat
wild animal,carnivore,terrestrial animal,mammal,animal found in Eurasia,feline,panther
domesticated animal,carnivore,terrestrial animal,mammal,animal found in Eurasia,mustelid,ferret
wild animal,carnivore,semi-aquatic animal,amphibian,animal found in Eurasia,zzz,frog
wild animal,carnivore,semi-aquatic animal,amphibian,animal found in Eurasia,zzz,toad
wild animal,insectivore,semi-aquatic animal,amphibian,animal found in Eurasia,zzz,frog
wild animal,insectivore,semi-aquatic animal,amphibian,animal found in Eurasia,zzz,toad
wild animal,carnivore,terrestrial animal,reptile,animal found in Eurasia,snake,viper
wild animal,carnivore,semi-aquatic animal,reptile,animal found in Eurasia,zother reptile,crocodile
wild animal,carnivore,terrestrial animal,reptile,animal found in Eurasia,zother reptile,dinosaur
wild animal,herbivore,terrestrial animal,reptile,animal found in Eurasia,zother reptile,tortoise
wild animal,herbivore,semi-aquatic animal,reptile,animal found in Eurasia,zother reptile,turtle
wild animal,herbivore,aquatic animal,reptile,animal found in Eurasia,zother reptile,sea turtle
wild animal,carnivore,terrestrial animal,reptile,animal found in Eurasia,lizard,gecko
wild animal,carnivore,terrestrial animal,reptile,animal found in Eurasia,lizard,legless lizard
wild animal,carnivore,terrestrial animal,reptile,animal found in Eurasia,lizard,monitor
wild animal,carnivore,terrestrial animal,reptile,animal found in Eurasia,lizard,newt
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,crane
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,flamingo
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,ibis
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,ibis
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,spoonbill
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,penguin
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,stork
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,buzzard
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,eagle
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,falcon
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,hawk
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,kite
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,osprey
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,owl
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,vulture
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,finch
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,finch
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,brightly colored bird,kingfisher
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,oriole
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,parakeet
domesticated animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,parakeet
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,parrot
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,dove
domesticated animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,dove
wild animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,duck
domesticated animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,duck
wild animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,brightly colored bird,duck
domesticated animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,brightly colored bird,duck
wild animal,herbivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,goose
domesticated animal,herbivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,goose
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,grouse
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,partridge
domesticated animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,pigeon
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,quail
wild animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,snipe
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,snipe
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,albatross
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,cormorant
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,grebe
wild animal,carnivore,aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,grebe
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,brightly colored bird,grebe
wild animal,carnivore,aquatic animal,bird,animal found in Eurasia,brightly colored bird,grebe
wild animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,moorhen
wild animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,plover
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,pelican
wild animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,seagull
wild animal,omnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,swan
wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,tern
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,blackbird
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,crake
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,magpie
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,wren
wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,bee eater
domesticated animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,chicken
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,crow
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,cuckoo
wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,raven
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,anchovy
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,barracuda
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,bass
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,catfish
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,cod
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,eel
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,eel
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,flounder
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,grouper
wild animal,carnivore,aquatic animal,fish,freshwater fish,zzz,pike
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,salmon
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,salmon
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,sardine
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,shark
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,swordfish
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,tilapia
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,tuna
wild animal,omnivore,aquatic animal,fish,freshwater fish,zzz,minnow
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,pufferfish
wild animal,omnivore,aquatic animal,fish,saltwater fish,zzz,shark
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,stingray
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,wrasse
wild animal,carnivore,aquatic animal,fish,saltwater fish,zzz,moray eel
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,cow
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,goat
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,goat
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,ox
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,sheep
wild animal,omnivore,terrestrial animal,mammal,animal found in Africa,primate,human
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Africa,primate,human
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Africa,rodent,gerbil
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Africa,rodent,hamster
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,rodent,guinea pig
wild animal,omnivore,terrestrial animal,mammal,animal found in Africa,rodent,mouse
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Africa,rodent,mouse
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,rabbit
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,rabbit
wild animal,omnivore,terrestrial animal,mammal,animal found in Africa,rodent,rat
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Africa,rodent,rat
wild animal,omnivore,terrestrial animal,mammal,animal found in Africa,rodent,squirrel
wild animal,carnivore,aquatic animal,mammal,animal found in Africa,zzz,dolphin
wild animal,herbivore,aquatic animal,mammal,animal found in Africa,zzz,dugong
wild animal,carnivore,aquatic animal,mammal,animal found in Africa,zzz,orca
wild animal,carnivore,semi-aquatic animal,mammal,animal found in Africa,zzz,otter
wild animal,carnivore,aquatic animal,mammal,animal found in Africa,zzz,porpoise
wild animal,carnivore,semi-aquatic animal,mammal,animal found in Africa,zzz,sea lion
wild animal,carnivore,semi-aquatic animal,mammal,animal found in Africa,zzz,seal
wild animal,carnivore,aquatic animal,mammal,animal found in Africa,zzz,whale
wild animal,carnivore,terrestrial animal,mammal,animal found in Africa,insectivore,bat
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,donkey
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,hare
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,horse
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,horse
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,mole
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,zzz,mule
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Africa,zzz,pig
wild animal,omnivore,terrestrial animal,mammal,animal found in Africa,canine,fox
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Africa,canine,fox
domesticated animal,omnivore,terrestrial animal,mammal,animal found in Africa,canine,pet dog
domesticated animal,carnivore,terrestrial animal,mammal,animal found in Africa,feline,house cat
wild animal,carnivore,terrestrial animal,mammal,animal found in Africa,feline,panther
domesticated animal,carnivore,terrestrial animal,mammal,animal found in Africa,mustelid,ferret
wild animal,carnivore,semi-aquatic animal,amphibian,animal found in Africa,zzz,frog
wild animal,carnivore,semi-aquatic animal,amphibian,animal found in Africa,zzz,toad
wild animal,carnivore,terrestrial animal,reptile,animal found in Africa,snake,viper
wild animal,carnivore,semi-aquatic animal,reptile,animal found in Africa,zother reptile,crocodile
wild animal,carnivore,terrestrial animal,reptile,animal found in Africa,zother reptile,dinosaur
wild animal,herbivore,terrestrial animal,reptile,animal found in Africa,zother reptile,tortoise
wild animal,herbivore,semi-aquatic animal,reptile,animal found in Africa,zother reptile,turtle
wild animal,herbivore,aquatic animal,reptile,animal found in Africa,zother reptile,sea turtle
wild animal,carnivore,terrestrial animal,reptile,animal found in Africa,lizard,gecko
wild animal,carnivore,terrestrial animal,reptile,animal found in Africa,lizard,legless lizard
wild animal,carnivore,terrestrial animal,reptile,animal found in Africa,lizard,monitor
wild animal,carnivore,terrestrial animal,reptile,animal found in Africa,lizard,newt
wild animal,omnivore,terrestrial animal,bird,animal found in Africa,grey brown white or black bird,crane
wild animal,omnivore,terrestrial animal,bird,animal found in Africa,brightly colored bird,flamingo
